number,name,description
AA 47SI:,Why Go To Space?,"Why do we spend billions of dollars exploring space? What can modern policymakers, entrepreneurs, and industrialists do to help us achieve our goals beyond planet Earth? Whether it is the object of exploration, science, civilization, or conquest, few domains have captured the imagination of a species like space. This course is an introduction to space policy issues, with an emphasis on the modern United States. We will present a historical overview of space programs from all around the world, and then spend the last five weeks discussing present policy issues, through lectures and guest speakers from NASA, the Department of Defense, new and legacy space industry companies, and more. Students will present on one issue that piques their interest, selecting from various domains including commercial concerns, military questions, and geopolitical considerations."
AA 102:,Introduction to Applied Aerodynamics,"This course explores the fundamentals of the behavior of aerodynamic surfaces (airfoils, wings, bodies) immersed in a fluid across all speed regimes (from subsonic to supersonic/hypersonic). We will cover airfoil theory (subsonic and supersonic), wing theory, and introduction to viscous flows and both laminar and turbulent boundary layers, and the topic of flow transition. At the completion of this course, students will be able to understand and predict the forces and movements generated by aerodynamic configurations of interest. Assignments require a basic introductory knowledge of MATLAB or another suitable programming language. Prerequisites: CME 100 and CME 102 (or equivalent), PHYS 41, AA 100, and ME 70."
AA 108N:,Surviving Space,"Space is dangerous. Anything we put into orbit has to survive the intense forces experienced during launch, extreme temperature changes, impacts by cosmic rays and energetic protons and electrons, as well as hits by human-made orbital debris and meteoroids. If we venture beyond Earth's sphere of influence, we must also then endure the extreme plasma environment without the protection of our magnetic field. With all of these potential hazards, it is remarkable that our space program has experienced so few catastrophic failures. In this seminar, students will learn how engineers design and test spacecraft to ensure survivability in this harsh space environment. We will explore three different space environment scenarios, including a small satellite that must survive in Low Earth Orbit (LEO), a large spacecraft headed to rendezvous with an asteroid, and a human spaceflight mission to Mars."
AA 109Q:,Aerodynamics of Race Cars,"Almost as soon as cars had been invented, races of various kinds were organized. In all its forms (open-wheel, touring car, sports car, production-car, one-make, stock car, etc.), car racing is today a very popular sport with a huge media coverage and significant commercial sponsorships. More importantly, it is a proving ground for new technologies and a battlefield for the giants of the automotive industry. While race car performance depends on elements such as engine power, chassis design, tire adhesion and of course, the driver, aerodynamics probably plays the most vital role in determining the performance and efficiency of a race car. Front and/or rear wings are visible on many of them. During this seminar, you will learn about many other critical components of a race car including diffusers and add-ons such as vortex generators and spoilers. You will also discover that due to the competitive nature of this sport and its associated short design cycles, engineering decisions about a more »"
AA 118N:,How to Design a Space Mission: from Concept to Execution,"Space exploration is truly fascinating. From the space race led by governments as an outgrowth of the Cold War to the new era of space commercialization led by private companies and startups, more than 50 years have passed, characterized by great leaps forward and discoveries. We will learn how space missions are designed, from concept to execution, based on the professional experience of the lecturer and numerous examples of spacecraft, including unique hardware demonstrations by startups of the Silicon Valley. We will study the essentials of systems engineering as applicable to a variety of mission types, for communication, navigation, science, commercial, and military applications. We will explore the various elements of a space mission, including the spacecraft, ground, and launch segments with their functionalities. Special emphasis will be given to the design cycle, to understand how spacecraft are born, from the stakeholders' needs, through analysis, synthesis, all the way to th more »"
AA 131:,Space Flight,"This class is all about how to build a spacecraft. It is designed to introduce undergraduate engineering students to the engineering fundamentals of conceiving, designing, implementing, and operating satellites and other space systems. Topics include orbital dynamics, attitude dynamics, mission design, and subsystem technologies. The space environment and the seven classic spacecraft subsystems - propulsion, attitude control and navigation, structure, thermal, power, telemetry and command, and payload - will be explored in detail. Prerequisites: Freshman-level physics, basic calculus and differential equations."
AA 136A:,Spacecraft Design,"Space Capstone I. This course is focused on the design and implementation of uncrewed spacecraft with an emphasis on nano-satellites. Practical laboratory exercises will introduce students to the fundamentals of flight software, electronics, and mechanical design while building on a flight-proven spacecraft architecture. Students will work in teams to develop and present their design of a spacecraft subsystem. Required for Aero/Astro majors. For all other majors consent of instructor is required. Prerequisite: AA 131"
AA 191:,Practical Training,"For undergraduate students. Educational opportunities in high technology research and development labs in industry. Students engage in internship work and integrate that work into their academic program. Following internship work, students complete a research report outlining work activity, problems investigated, key results, and follow-up projects they expect to perform. Meets the requirements for curricular practical training for students on F-1 visas. Student is responsible for arranging own internship/employment and faculty sponsorship. Register under faculty sponsor's section number. All paperwork must be completed by student and faculty sponsor, as the Student Services Office does not sponsor CPT. Students are allowed only two quarters of CPT per degree program. Course may be repeated twice."
AA 272:,Global Positioning Systems,"The principles of satellite navigation using Global Positioning Systems (GPS). Positioning techniques using code tracking, single and dual frequency, carrier aiding, and use of differential and assisted GPS/GNSS for improved accuracy and integrity. Students will learn the building blocks to go from raw received satellite time in nanoseconds all the way to a sophisticated position solution. Using provided Android smartphones, students will collect data and implement an open-ended course project where the goal is to get creative and solve an interesting problem using the tools developed in this course. Prerequisites: familiarity with matrix algebra and MatLab (or another mathematical programming language)."
ACCT 542:,Corporate Taxes and Business Strategy,"The goal of this course is to provide a fundamental understanding of the principles of business taxation and tax planning, which will be relevant and valuable even as tax laws change - over time, across borders, and by taxpayer type. The role that taxes may play in business decisions are presented within an ""all taxes, all parties, all costs"" framework, from the tax issues at start-up (e.g., the choice of organizational form for a new venture), multistate and multinational operations, financial accounting implications, and mergers and acquisitions. We will use cases to gain hands' on experience analyzing business tax strategies and refer to financial statement disclosures as appropriate so that you can learn how taxes affect the financial reporting for transactions. A recurring theme will be linking the tax strategies that we learn with concepts from corporate finance, financial accounting, business law, and economics."
